YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
,Which mountains are higher than the Nanga Parbat?,"Abiathar Peak, Ahern Peak, Albright Peak, Allen Mountain, Almost-a-Dog Mountain, Alpine Peak, Alta Peak, Altair Peak, Amelia Earhart Peak, American Legion Peak, Amethyst Mountain, Amphitheater Mountain, Anaconda Peak, Aneroid Mountain, Angel's Perch, Angora Peak, Antler Peak, Antora Peak, Apikuni Mountain, Appistoki Peak, Argentine Peak, Argonaut Peak, Arrow Peak, Arrow Peak, Ash Mountain, Aspen Mountain, Aspen Mountain, Atkins Peak, Atlantic Peak, Augustin Peak (Alaska), Austera Peak, Avalanche Spire, Azurite Peak, B-7 Pillar, Backdrop Peak, Bad Marriage Mountain, Badger Mountain, Baker Peak, Bald Mountain, Baldy Mountain, Baldy Mountain, Banner Peak, Bannock Peak, Bard Peak, Barlow Peak, Baron Peak, Barronette Peak, Bartlett Peak, Basin Mountain, Bastion Peak, Bastion Peak-Northeast Peak, Battlement Mountain, Battleship Mountain, Bear Creek Spire, Bear Mountain, Bear Peak, Bear Peak, Bearhat Mountain, Bearhead Mountain, Bears Ears Mountain, Bears Tooth, Beartooth Mountain, Beautiful Mountain, Bell Mountain, Ben Lomond Mountain, Bennett Peak, Berrian Mountain, Bible Back Mountain, Big Baldy Mountain, Big Boy Peak, Big Creek Peak, Big Hatchet Peak, Big Kangaroo, Big Peak, Big Sandy Mountain, Bighorn Peak, Bill Williams Mountain, Birch Mountain, Bison Peak, Bivouac Peak, Black Butte, Black Mountain, Black Mountain, Black Mountain, Black Pine Mountains High Point, Black Pine Peak, Black Tooth Mountain, Blackfoot Mountain, Blackmon Peak, Blair Mountain (Colorado), Block Tower, Blodgett Peak, Bloody Dick Peak, Bloody Mountain (California), Blue Mountain, Boardman Peak, Bonanza Peak, Booker Mountain, Boston Peak, Boulder Peak, Bow Mountain, Bowback Mountain, Braddock Peak, Brave Dog Mountain, Braxon Peak, Brocky Peak, Brokeoff Mountain, Bromaghin Peak, Brown Cliffs North, Buck Mountain, Buckner Mountain, Buffalo Peak, Bull Mountain, Bumpass Mountain, Bunker Hill, Bunnell Point, Bunsen Peak, Bush Mountain, Buttercup Mountain, Cache Peak, Cairn Mountain, California Peak, Calkens Peak, Camas County Highpoint, Campbell Mountain, Canjilón Mountain, Caper Peak, Carbon Peak, Carr Peak, Cascade Mountain, Casco Peak, Casper Mountain, Castle Mountain, Castle Mountain, Castle Peak, Castle Peak, Castle Peak (Sawatch Range), Castle Rock Mountain, Castle Rock Spire, Cathedral Peak, Cathedral Peak, Cathey Peak, Cerro Ciento, Cerro El Huehuentón, Cerro Grande, Cerro Pedernal, Chair Mountain, Challenger Point, Chapman Peak, Charybdis, Chicoma Mountain, Chief Cheley Peak, Chinese Wall, Chiricahua Peak, Chittenden Peak, Cho Oyu, Church Butte, Cirque Lake Peak, Citadel Mountain, Clark Mountain (Washington), Clayton Mountain, Cleaver Peak, Clements Mountain, Clinton Peak, Cloud Peak, Cloudcroft Peaks, Cloudveil Dome, Cobb Peak, Colter Peak, Columbia Point, Columbus Mountain, Conejos Peak, Conger Mountain, Cook Peak, Coon Creek Peak, Cooper Mountain (Colorado), Copper Mountain, Corral Ridge, Cosho Peak, Cracker, Crane Mountain, Crater Mountain, Crater Peak, Crazy Peak, Crested Butte, Cronin Peak, Crooked Thumb Peak, Croseus Peak, Crowfeet Mountain, Crystal Peak, Cucamonga Peak, Currant Mountain, D. O. Lee Peak, Dallas Peak, Dan Dobbins Peak, Dardanelles Cone, Darton Peak, Dave's Peak, Decker Peak, Deerhorn Mountain, Desatoya Peak, Desolation Peak (Wyoming), Devils Bedstead East, Devils Head, Devils Paw, Devils Thumb, Dhaulagiri, Diamond Peak, Diamond Peak, Diamond Peak, Diamond Peak, Diamond Peak, Disappointment Peak, Divide Mountain, Doane Peak, Dog Tooth Peak, Dollarhide Mountain, Dolores Peak, Dome Mountain, Dome Mountain, Donaldson Peak, Doublet Peak, Doubletop Peak, Douglas Knob, Downs Mountain, Doyle Peak, Druid Peak, Dry Ridge Mountain, Duffer Peak, Duncan's Peak, Dunderberg Peak, Dunraven Peak, Dusty Star Mountain, Dyer Mountain, Eagle Butte, Eagle Cap, Eagle Peak, Eagle Peak, Eagle Peak, Eagle Plume Mountain, Eagle Ribs Mountain, Eaglehead Mountain, Eagles Rest Peak, East Beckwith Mountain, East Buffalo Peak, East Flattop Mountain, East Peak, East Spanish Peak, East Temple Peak, Ebony Peak, Echo Peak, Echo Peak, Edwards Mountain, El Capitan, El Diente Peak, Eldorado Mountain, Eldorado Peak, Elk Mountain, Elk Mountain, Elk Mountain, Elk Mountain (Colorado), Elk Peak, Elkhorn Peak, Ellingwood Point, Elliott Mountain, Emerald Peak, Emigrant Peak, Enchantment Peak, Engelmann Peak, Escudilla Mountain, Factory Hill, Fairchild Mountain, Fairview Dome, Fan Mountain, Farallones del Citará, Farnsworth Peak, Fishers Peak, Flagstone Peak, Flat Top Mountain, Flat Top Mountain, Flatiron Mountain, Fletcher Mountain, Fletcher Peak, Flinsch Peak, Flora Mountain, Florence Peak, Folsom Peak, Forbidden Peak, Forellen Peak, Fortress Mountain, Fortress Mountain, Fossil Mountain, Fourth of July Peak, Francs Peak, Freel Peak, Fremont Peak, Fremont Peak, French Mountain, Froze-to-Death Mountain, Fusillade Mountain, Gable Mountain, Garfield Peak, Garfield Peak (Colorado), George Peak, Gilbert Peak, Gilbert Peak, Glacier Peak, Glass Mountain, Glassford Peak, Goat Haunt Mountain, Goat Mountain, Goat Mountain, Going-to-the-Sun Mountain, Golden Horn (Washington), Gothic Mountain, Graham Peak, Graham Peak (Colorado), Grand Mogul, Granite Peak, Granite Peak-Northwest Peak, Grapevine Peak, Gray Peak, Green Lakes Mountain, Green Mountain (Boulder, Colorado), Green Mountain (Kenosha Mountains), Greenhorn Mountain, Greys Peak, Griffin Butte, Griffith Peak, Grizzly Mountain, Grizzly Peak, Grouse Mountain, Gunsight Mountain (Montana), Gunsight Peak, Hagues Peak, Hahns Peak, Half Peak, Hallelujah Peak, Harris Mountain, Harrower Peak, Hat Mountain, Hayden Peak, Hayes Volcano, Hayford Peak, Heavens Peak, Hedges Peak, Henderson Peak, Henry Mountain, Hermit's Peak, Hesperus Mountain, Hilgard Mountain, Hilgard Peak, Hole in the Mountain Peak, Horse Mountain, Horsefly Peak, Horsemans Pack, Horseshoe Mountain (Colorado), Horstmann Peak, Horton Peak, Housetop Mountain, Howlock Mountain, Hualapai Peak, Humboldt Peak (Nevada), Humpy Peak, Hunter Peak, Huron Peak, Hyndman Peak, Ibapah Peak, Ice Mountain (Colorado), Iceberg Peak, Imogene Peak, Ipasha Peak, Iron Mountain, Iron Mountain (Sangre de Cristo Range), Italian Mountain, Jack Mountain, Jackson Peak, Jacque Peak, Jarbidge Peak, Jepson Peak, Jobs Peak, Jones Mountain, Joseph Peak, Junction Peak, Jupiter Mountain, K2, Kahiltna Dome, Kahiltna Peaks, Kaina Mountain, Kaiser Point, Kanchenjunga, Kaweah Queen, Kedarkanta, Kelly Mountain, Kendrick Peak, Kent Peak, Kern Peak, King Peak, Kinnerly Peak, Kintla Peak, Kit Carson Peak, Klawatti Peak, Klondike Peak, Knife Point Mountain, Koip Peak, Kootenai Peak, Kupunkamint Mountain, Kūh-e Mūl Kūh, Laurel Mountain, Lavender Peak (Colorado), Leatherman Peak, Leavitt Peak, Lembert Dome, Lhotse, Lhotse Shar, Liberty Peak, Little Annapurna, Little Bear Peak, Little Chief Mountain, Little Cone, Little Creek Peak, Little Diamond Peak, Little Dog Mountain, Littles Peak, Lituya Mountain, Livingston Peak, Lizard Head, Lizard Head Peak, Logan Peak, Logging Mountain, Lolo Peak, Lone Cone (Colorado), Lone Eagle Peak, Lone Walker Mountain, Lonesome Lake Peak, Long Knife Peak, Longfellow Peak, Lookout Mountain, Loomis Peak, Lost Corner Mountain, Lost River Peak, Lower Titus Peak, Luna Peak, Mad Wolf Mountain, Maggies Peak, Mahtotopa Mountain, Maidenform Peak, Makalu, Mammoth Mountain, Mammoth Peak, Manaslu, Manzano Peak, Marcellina Mountain, Marys River Peak, Matahpi Peak, Mather Peaks, Matterhorn (Nevada), Matterhorn Peak, Maturango Peak, McAfee Peak, McClellan Peak, McClintock Peak, McConnell Peak, McCurdy Mountain, McDonald Peak, McDonald Peak, McFarland Peak, McGown Peak, McKnight Mountain, McPartland Mountain, Medicine Bow Peak, Medicine Butte, Medicine Grizzly Peak, Medicine Owl Peak, Meldrum Mountain, Menefee Mountain, Merced Peak, Meridian Peak, Meridian Peak, Merriam Peak, Merritt Peak (Idaho), Mesahchie Peak, Metcalf Mountain, Methodist Mountain, Mica Mountain, Miche Wabun Peak, Mickey's Spire, Middle Mountain, Middle Palisade, Middle Peak, Middle Sister, Middle Triple Peak, Milestone Mountain, Miller Mountain, Missouri Mountain, Mitchell Peak (Wyoming), Mogollon Baldy, Mokelumne Peak, Mono–Inyo Craters, Montgomery Peak, Moolack Mountain, Moose Mountain, Mount Abbot, Mount Adams, Mount Agassiz, Mount Alice, Mount Ansel Adams, Mount Audubon, Mount Aylesworth, Mount Baden-Powell, Mount Bailey, Mount Baldy, Mount Baldy, Mount Bancroft, Mount Bannon, Mount Barnard, Mount Baxter, Mount Belford, Mount Blackmore, Mount Blaurock, Mount Bonneville, Mount Breitenbach, Mount Brewer, Mount Brooks (Alaska), Mount Bross, Mount Brown, Mount Buckskin, Mount Burnham, Mount Calowahcan, Mount Cannon, Mount Capps, Mount Carpe (Alaska), Mount Carter, Mount Carter, Mount Challenger (Washington), Mount Charleston, Mount Chauvenet, Mount Chiquita, Mount Chittenden, Mount Church, Mount Clark, Mount Cleveland, Mount Conness, Mount Cotter, Mount Cramer, Mount Crillon, Mount Crosson, Mount Custer, Mount Dall, Mount Dan Beard, Mount Dana, Mount Darwin, Mount Davis, Mount Deborah, Mount Deception (Alaska), Mount Democrat, Mount Despair (Montana), Mount Dickey, Mount Diller, Mount Doane, Mount Doody, Mount Douglas, Mount Dromore, Mount Drum, Mount Dubois, Mount Eddy, Mount Edwards, Mount Elden, Mount Eldridge (Alaska Range), Mount Ellen, Mount Ellsworth (Montana), Mount Emmons (Colorado), Mount Emmons (Utah), Mount Ericsson, Mount Everest, Mount Febbas, Mount Fernow, Mount Fitzpatrick, Mount Gabb, Mount Gannett, Mount Gardiner, Mount Geduhn, Mount Gibbs, Mount Gilbert, Mount Glory, Mount Goddard, Mount Gould, Mount Gould (Montana), Mount Grafton, Mount Grant, Mount Grinnell, Mount Guero, Mount Gunnison, Mount Guyot (Colorado), Mount Hague, Mount Hancock, Mount Harrison, Mount Harwood, Mount Hay, Mount Haynes, Mount Helen, Mount Helen, Mount Helen, Mount Henkel, Mount Henry (Montana), Mount Herard, Mount Heyburn, Mount Hillers, Mount Hoffmann, Mount Holmes, Mount Hooker (Wyoming), Mount Hope (Colorado), Mount Hopkins, Mount Hornaday, Mount Howard, Mount Hubley, Mount Humphreys, Mount Hunt, Mount Huntington, Mount Ida, Mount Idaho, Mount Inabnit, Mount Independence, Mount Ingalls, Mount Iowa, Mount Ireland, Mount Irvine (California), Mount Isto, Mount Jackson, Mount Jackson, Mount Jackson, Mount James, Mount Jedediah Smith, Mount Jefferson, Mount Jefferson, Mount Jefferson, Mount Jetté, Mount Julian, Mount Kahuzi, Mount Kaweah, Mount Keith, Mount Kipp, Mount Koven (Alaska), Mount Koven (Wyoming), Mount Lamborn, Mount Lander (Fremont County, Wyoming), Mount Langford, Mount Langley, Mount Le Conte, Mount Lemmon, Mount Lewis, Mount Limbert, Mount Lincoln, Mount Lindsey, Mount Livermore, Mount Lodge (Yakutat), Mount Logan, Mount Logan, Mount Lola, Mount Mallory, Mount Marriott, Mount Mary Austin, Mount Mather (Alaska), Mount Mazama, Mount McAdie, Mount Meek, Mount Meeker, Mount Mendel, Mount Merritt, Mount Mestas, Mount Michelson, Mount Michelson (Chugach Mountains), Mount Mills, Mount Moffit, Mount Morgan, Mount Morgan, Mount Moriah, Mount Neacola, Mount Nebo, Mount Norris, Mount Nystrom, Mount Oberlin, Mount Ogden, Mount Oklahoma, Mount Peabody, Mount Peal, Mount Peale, Mount Phillips, Mount Phillips, Mount Pinchot, Mount Pinos, Mount Pluto, California, Mount Powell, Mount Powell, Mount Price, Mount Rearguard, Mount Redoubt, Mount Regan, Mount Richthofen, Mount Rockwell, Mount Root, Mount Rosa (Colorado), Mount Rose (Nevada), Mount Russell, Mount Russell, Mount Ruth, Mount Sacagawea, Mount Saint John, Mount Saint Nicholas, Mount Salisbury, Mount Schurz, Mount Seattle, Mount Sedgwick, Mount Sherman, Mount Siegel, Mount Sill, Mount Silliman, Mount Silverheels, Mount Silverthrone, Mount Siyeh, Mount Sopris, Mount Spencer, Mount Stanford, Mount Starr King, Mount Steller, Mount Stevens (Alaska), Mount Stevenson, Mount Tallac, Mount Tatum, Mount Tenabo, Mount Terror, Mount Thompson, Mount Timpanogos, Mount Tobin, Mount Tom, Mount Tripyramid (Alaska), Mount Tyndall, Mount Valhalla, Mount Vaught, Mount Villard, Mount Waas, Mount Walter, Mount Warren, Mount Washakie, Mount Washington, Mount Watkins, Mount Werner, Mount Whitecap, Mount Wilbur, Mount Wilbur (Alaska), Mount Winchell, Mount Wister, Mount Wood, Mount Woodring, Mount Woodrow Wilson, Mount Woolsey, Mount Zirkel, Mount Zwischen, Mount derak, Mox Peaks, Mummy Mountain, Mystic Mountain, Nahsukin Mountain, Naomi Peak, Natoas Peak, New York Mountain, Nez Perce Peak, Niagara Peak, Nicholson Peak, No Regret Peak, Nooksack Tower, Norman Clyde Peak, Norris Mountain (Montana), North Arapaho Peak, North Gardner Mountain, North Mamm Peak, North Peak, North Schell Peak, Norton Peak, Notch Peak, Numa Peak, Olancha Peak, Old Hyndman Peak, Ontario Peak, Ouray Peak, Overhanging Tower, Owens Peak, Owl Peak, Pacific Peak, Packrat Peak, Palisade Crest, Paradise Peak, Park Cone, Parke Peak, Parks Peak, Parkview Mountain, Parsons Peak, Patterson Peak, Paul Bunyans Cabin, Payette Peak, Payson Peak, Peak 11,272, Peak 13,762, Pearl Peak, Peavine Peak, Pegasus Peak, Penrose Peak, Peril Peak, Peters Dome, Petit Grepon, Pfeifferhorn, Phipps Peak, Piegan Mountain, Pigeon Peak, Pilot Pinnacle, Pingora Peak, Pioneer Mountain, Piper Peak, Pollock Mountain, Porcupine Peak, Porter Peak, Potosi Mountain, Prairie Creek Peak, Primus Peak, Prospect Peak, Prospectors Mountain, Ptarmigan Peak (Colorado), Pueblo Mountain, Purple Mountain, Pylon Peak (Wyoming), Pyramid Mountain, Pyramid Peak, Pyramid Peak, Pyramid Peak, Pyramid Peak, Quadrant Mountain, Ragged Mountain, Raid Peak, Rainbow Peak, Ralston Peak, Rammell Mountain, Rampart Peak, Ranger Peak, Ranger Peak, Raynolds Peak, Razoredge Mountain, Red Cones, Red Eagle Mountain, Red Lake Peak, Red Mountain, Red Mountain, Red Mountain, Red Mountain, Red Mountain, Red Peak, Red Table Mountain, Redcloud Peak, Redondo Peak, Rendezvous Mountain, Reuter Peak, Reynolds Mountain, Rio Grande Pyramid, Rising Wolf Mountain, Rito Alto Peak, Roaring Fork Mountain (Wyoming), Roaring Mountain, Rock of Ages, Rockchuck Peak, Rolling Thunder Mountain, Roof Butte, Rubicon Peak, Ruby Peak, Russian Peak, Ryan Peak, Sacajawea Peak, Salinas Peak, Salo Mountain, Salvage Mountain, Salzburger Spitzl, San Antonio Mountain, San Gorgonio Mountain, Santa Fe Baldy, Sarcee Mountain, Saviers Peak, Sawmill Mountain, Sawtell Peak, Sawtooth Peak, Scapegoat Mountain, Sentinel Peak, Sepulcher Mountain, Seven Utes Mountain, Sevy Peak, Seward Mountain, Shadow Peak, Shale Mountain, Sharks Nose, Sharkstooth Peak, Shastina, Shawnee Peak, Sheep Mesa, Sheep Mountain, Sheep Mountain, Sherburne Peak, Shingle Peak, Shoshone John Peak, Shumard Peak, Sierra Grande, Signal Peak, Silver Mountain, Silver Peak, Silver Run Peak, Sinopah Mountain, Sirretta Peak, Skillern Peak, Sky Pilot Mountain, Sleepy Cat Peak, Slide Mountain, Smiley Mountain, Smoky Dome, Snow Lake Peak, Snow Valley Peak, Snowbank Mountain, Snowbank Mountain, Snowfield Peak, Snowmass Mountain, Snowmass Peak, Snowshoe Peak, Snowyside Peak, Sonora Peak, South Bald Mountain, South Baldy, South Downs Mountain, South Kings Peak, South Mountain, South River Peak, South Teton, Spanish Peaks, Spearhead Peak, Specimen Mountain, Specimen Ridge, Spire Point, Spirit Mountain, Split Mountain, Split Mountain, Split Mountain, Spruce Mountain, Square Peak, Standhope Peak, Static Peak, Steel Mountain, Stein Mountain, Stoney Indian Peaks, Storm King Mountain, Strawberry Mountain, Stripe Mountain, Sublette Mountain, Sultan Mountain, Summit Mountain, Summit Peak, Sunbeam Peak, Sundance Mountain, Sunlight Peak, Sunshine Peak, Survey Peak, Swasey Mountain, Swiftcurrent Mountain, Sylvan Peak, Symmetry Spire, Tabeguache Peak, Table Mountain, Table Mountain, Tahquitz Peak, Talking Mountain, Tanks Peak, Taylor Peak, Teakettle Mountain, Teepe Pillar, Teewinot Mountain, Telegraph Peak, Tells Peak, Tempest Mountain, Temple Crag, Temple Peak, Tenderfoot Mountain, The Guardhouse, The Innominate, The Jaw, The Moose's Tooth, The Needles, The Riddler, The Sawtooth, The Sphinx, The Thunderer, The Wall, Thirtynine Mile Mountain, Thomas Peak, Thompson Peak, Thompson Peak, Thor Peak, Three Rivers Peak, Three Waters Mountain, Throop Peak, Thunder Mountain, Thunderbird Mountain, Thunderbolt Peak, Tilocálar, Timber Mountain, Tin Mountain, Tinkham Mountain, Titus Peak, Tomichi Dome, Tooth of Time, Toro Peak, Torrey Peak, Wyoming, Tower Mountain (Colorado), Tower Mountain (Washington), Trapper Peak, Traverse Peak, Treasure Mountain, Trilobite Point, Trinity Mountain, Triple Divide Peak, Trischman Knob, Troy Peak, Truchas Peak, Turret Peak, Turret Peak (Wyoming), Twilight Peak, Twin Peaks, Twin Peaks, Twin Peaks (Wyoming), Twin Sisters Peaks, Two Point Mountain, USGS Peak, Union Peak, Wyoming, University Peak, Ute Mountain, Valentine Mountain, Valentine Peak, Veiled Peak, Venado Peak, Verdi Peaks, Vigil Peak, Vulture Peak, Wahcheechee Mountain, Walton Mountain, War Bonnet Peak, Warbonnet Peak, Ward Mountain, Warrior Peaks, Washakie Needles, Washington Peak, Watch Tower (mountain), Watson Peak, Waucoba Mountain, Waugh Mountain, Wedge Peak (Alaska), West Blue Mountain, West Buffalo Peak, West Elk Peak, West Spanish Peak, Whetstone Mountain, Whiskey Mountain, White Calf Mountain, White Cloud Peak 1, White Cloud Peak 10, White Cloud Peak 2, White Cloud Peak 3, White Cloud Peak 4, White Cloud Peak 5, White Cloud Peak 6, White Cloud Peak 7, White Cloud Peak 8, White Cloud Peak 9, White Peaks, Whitetail Peak, Whitewater Baldy, Williams Peak, Wind River Peak, Window Peak, Winfield Peak, Wolf's Head, Wolftail Mountain, Wolverine Peak, Wynn Mountain, Wyoming Peak, Y Mountain, Yellow Mountain, Younts Peak, Zenobia Peak",,"Banua Wuhu, Cho Oyu, Dhaulagiri, Forty Lake Peak, Kangchenjunga, Kings Peak (Idaho), Lhotse, Lhotse Middle, Lhotse Shar, Makalu, Manaslu, South Summit (Mount Everest), Y Ro Wen",,174
,Which of Tim Burton's films had the highest budget?,Alice Through the Looking Glass,,Big Eyes,,407
,Give me all films produced by Steven Spielberg with a budget of at least $80 million.,"Amistad, Bridge of Spies, Close Encounters of the Third Kind, E.T. the Extra-Terrestrial, Hook, Indiana Jones and the Kingdom of the Crystal Skull, Jurassic Park, Lincoln, Minority Report, Ready Player One, Saving Private Ryan, Schindler's List, The BFG, The Lost World: Jurassic Park, War Horse",,"A.I. Artificial Intelligence, Indiana Jones (franchise), Indiana Jones and the Kingdom of the Crystal Skull, Minority Report (film), The Adventures of Tintin (film), The BFG (2016 film), War of the Worlds (2005 film)",,182
,Who developed Skype?,"Microsoft, Skype Technologies",,"Microsoft, Skype Technologies",,2
,Who is the heaviest player of the Chicago Bulls?,Lari Ketner,,Roberto Dueñas,,186
,What is the largest country in the world?,Canada,,Organization for Security and Co-operation in Europe,,188
,What is the largest city in america?,Nashville,,New York City,,189
,Give me the currency of China.,renminbi,,Renminbi,,402
,What is the timezone in San Pedro de Atacama?,UTC−04:00,,Time in Chile,,370
,Give me all breeds of the German Shepherd dog.,"Ace the Wonder Dog, Blondi, Champy, Chase, Horand von Grafrath, Lex, Lucky, Mancs, Rajah, Rifleman Khan, Rin Tin Tin, Strongheart, Zuyaqui",,"Antis (dog), Appollo (dog), Blondi, Lightning (dog), Lucca (dog), Mancs (dog), Nemo A534, Strongheart",,185
,Who killed John Lennon?,Mark David Chapman,,Mark David Chapman,,99
,What is the largest metropolitan area in Washington state?,King County,,"Seattle-Tacoma-Olympia, WA CSA",,98
,In which city was the former Dutch queen Juliana buried?,Baarn,,Delft,,95
,Give me all Swedish holidays.,"Christmas, Midsummer's Day",,"Christmas tree plundering, Gustavus Adolphus Day, St. Knut's Day, Veterans Day (Sweden)",,94
,Who played Agent Smith in Matrix?,"Christopher Corey Smith, Hugo Weaving",,"Hugo Weaving, Ian Bliss",,162
,What are the official languages of the Philippines?,"English, Filipino",,"Filipino language, Philippine English",,10
,Who is the owner of Universal Studios?,Comcast,,Comcast,,15
,Which monarchs were married to a German?,"Albert of Saxony, Andrew II of Hungary, Augustus II the Strong, Beatrix of the Netherlands, Casimir III the Great, Charles Emmanuel III of Sardinia, Charles VI, Holy Roman Emperor, Conrad II, Cunigunde of Luxembourg, Danilo, Crown Prince of Montenegro, Ernest Augustus of Hanover, Frederick I of Prussia, Frederick I of Württemberg, Frederick II of Prussia, Frederick William III of Prussia, Frederick William IV of Prussia, George I of Great Britain, George II of Great Britain, George V, Henry I of France, Henry I the Fowler, Hermann I of Salm, James II of Scotland, Louis the Younger, Ludwig I of Bavaria, Ludwig III of Bavaria, Maximilian I Joseph of Bavaria, Maximilian II of Bavaria, Miguel I of Portugal, Paul of Greece, Pedro V of Portugal, Peter II of Portugal, Peter, King of Hungary, Philip II of France, Prince Frederick Charles of Hesse, Princess Sophie of Schönburg-Waldenburg, Rupert, Stephen I of Hungary, Wenceslaus II of Bohemia, Wilhelm Karl, Duke of Urach, William, William I of Württemberg, William I, Count of Holland, William II of Württemberg, William III of the Netherlands, William IV of the United Kingdom, William V, Władysław II the Exile",,"Bolesław III Wrymouth, Mieszko I of Poland",,17
,Which museum in New York has the most visitors?,Metropolitan Museum of Art,,American Museum of Natural History,,408
,Which weapons did Heckler & Koch develop?,"G3, HK21, HK417, Heckler & Koch AG-C/GLM, Heckler & Koch AG36, Heckler & Koch G11, Heckler & Koch G41, Heckler & Koch HK CAWS, Heckler & Koch HK69A1, Heckler & Koch MG4, Heckler & Koch P2000, Heckler & Koch P9, Heckler & Koch PSG1, M27 Infantry Automatic Rifle, XM29 OICW",,"Heckler & Koch AG-C/EGLM, Heckler & Koch AG36, Heckler & Koch G11, Heckler & Koch G3, Heckler & Koch G41, Heckler & Koch HK CAWS, Heckler & Koch HK417, Heckler & Koch HK69A1, Heckler & Koch MG4, Heckler & Koch P2000, Heckler & Koch PSG1, M27 Infantry Automatic Rifle, XM25 CDTE",,153
,What is the ruling party in Lisbon?,Socialist Party,,Socialist Party (Portugal),,155
,What is the smallest city by area in Germany?,Berlin,,Eckernförde,,154
Irish Cave Rescue Organisation,What does ICRO stand for?,,,Irish Cave Rescue Organisation,,159
,List all episodes of the first season of the HBO television series The Sopranos!,"46 Long, A Hit Is a Hit, Boca, College, Denial, Anger, Acceptance, Down Neck, I Dream of Jeannie Cusamano, Isabella, Meadowlands, Nobody Knows Anything, Pax Soprana, The Legend of Tennessee Moltisanti, The Sopranos",,"46 Long, A Hit Is a Hit, Boca (The Sopranos), College (The Sopranos), Denial, Anger, Acceptance, Down Neck, I Dream of Jeannie Cusamano, Isabella (The Sopranos), Meadowlands (The Sopranos), Nobody Knows Anything, Pax Soprana, The Legend of Tennessee Moltisanti, The Sopranos (episode)",,158
,What form of government does Russia have?,"Parliamentary Republic, federal republic, representative democracy",,Federalism,,382
,What does IYCM stand for?,Youth Climate Movement,,Youth Climate Movement,,322
,Where is Sungkyunkwan University?,Seoul,,Sungkyunkwan University,,237
"Autonomous spaceport drone ship, Cape Canaveral Air Force Station Launch Complex 13, Cape Canaveral Air Force Station Launch Complex 14, Cape Canaveral Air Force Station Launch Complex 16, Cape Canaveral Air Force Station Launch Complex 18, Cape Canaveral Air Force Station Launch Complex 19, Cape Canaveral Air Force Station Launch Complex 5, Cape Canaveral Air Force Station Space Launch Complex 17, Cape Canaveral Air Force Station Space Launch Complex 37, Cape Canaveral Air Force Station Space Launch Complex 41, ELA-3, Keweenaw, Keweenaw Rocket Range, LC-13, Launch Complex 16, Launch Complex 5, Launch Complex 6, Mid-Atlantic Regional Spaceport Launch Pad 0, Point Arguello Launch Complex A, Spaceport Florida Launch Complex 36, Vandenberg AFB Space Launch Complex 6, Wallops Flight Facility Launch Area 3",Give me all launch pads operated by NASA.,,,"Broglio Space Centre, Cape Canaveral Air Force Station Launch Complex 13, Kennedy Space Center Launch Complex 39, Keweenaw Rocket Range, Mid-Atlantic Regional Spaceport Launch Pad 0, Spaceport Florida Launch Complex 36, Wallops Flight Facility Launch Area 3",,231
,What is the bridge with the longest span?,Dongting Lake Bridge Hangrui,,Overseas Highway,,357
,Which bridges cross the Seine?,"Asnières Bridge, Boieldieu Bridge, Courbevoie Bridge, Matilda Bridge, Passerelle de l'île Saint-Germain, Passerelle piétonne de Neuilly, Pont Clemenceau (Vernon), Pont Louis-Philippe, Pont Marie, Pont Pierre-Corneille, Pont au Change, Pont aval, Pont d'Austerlitz, Pont de Bezons, Pont de Choisy-le-Roi, Pont de Poissy, Pont de Saint-Cloud, Pont de Sully, Pont de Suresnes, Pont de Sèvres, Pont de l'Archevêché, Pont des Invalides, Pont du Carrousel, Pont du Garigliano, Viaduc d'Oissel, Viaduc de Saint-Cloud, first bridge on the Seine, old bride of Poissy, passerelle de l'Estacade, pont Charles-de-Gaulle, pont Notre-Dame, pont amont, pont de Tolbiac, pont de l'Alma, pont des Invalides",,"Passerelle Debilly, Passerelle Simone-de-Beauvoir, Pont Alexandre III, Pont Charles-de-Gaulle, Pont Louis-Philippe, Pont Marie, Pont National, Pont Neuf, Pont Notre-Dame, Pont Rouelle, Pont Royal, Pont amont, Pont au Change, Pont au Double, Pont aval, Pont d'Austerlitz, Pont d'Iéna, Pont de Bercy, Pont de Bir-Hakeim, Pont de Brotonne, Pont de Grenelle, Pont de Neuilly, Pont de Normandie, Pont de Sully, Pont de Tolbiac, Pont de l'Alma, Pont de l'Archevêché, Pont de la Tournelle, Pont des Invalides, Pont du Carrousel, Pont du Garigliano, Port à l'Anglais Bridge, Viaduc d'Austerlitz",,48
